Country Name;2016 [YR2016]
Central African Republic;1869960216.76917
Chad;14237482102.9906
Chile;243046025927.931
China;11604134912471.2
Colombia;311102697309.253
Comoros;1049206486.91825
Congo, Dem. Rep.;38368509559.0102
Congo, Rep.;11826831604.3751
Costa Rica;54371622126.1702
Cote d'Ivoire;48916733337.103
Croatia;53735788580.7602
Cuba;84811198976.6624
Curacao;2915027215.07865
Cyprus;21151400876.8033
Czechia;186577264392.86
Denmark;331275583248.078
Djibouti;2455811775.91439
Dominica;556540564.212894
Dominican Republic;71242007513.3647
Ecuador;94956077961.139
Egypt, Arab Rep.;325198707867.36
El Salvador;22295959534.2249
Equatorial Guinea;10043892394.8458
Estonia;24526402554.4203
Ethiopia;66310955915.5059
Faroe Islands;2839719051.60036
Fiji;4605397527.10778
Finland;248142777648.351
France;2603823276261.62
French Polynesia;6189245829.88563
Gabon;14216590532.1583
Gambia, The;1339838186.50614
Georgia;15595315199.8665
Germany;3734059829677.44
Ghana;51665371592.881
Greece;199329729787.415
Grenada;920927024.403226
Guatemala;61233391818.917
Guinea;9150006371.8308
Guinea-Bissau;1236070350.97176
Guyana;4279939027.89309
Haiti;14680073741.8599
Honduras;19698747620.6188
Hong Kong SAR, China;315280224869.312
Hungary;129104988925.682
Iceland;19594121414.1553
India;2246783906989.46
Indonesia;890493673493.167
Iran, Islamic Rep.;463497058138.189
Iraq;194608175973.794
Ireland;251829806851.776
Isle of Man;6568246935.168
Israel;318892744051.447
Italy;1947749931461.05
Jamaica;14007933237.486
Japan;4887581873397.65
Jordan;38174010512.3423
Kazakhstan;155999097992.4
Kenya;71748257092.2357
Kiribati;354819096.503703
Korea, Rep.;1580316759205.39
Kosovo;6988596429.78944
Kuwait;139813136904.762
Kyrgyz Republic;6741191536.90146
Lao PDR;14563895801.7476
Latvia;28023282182.088
Lebanon;48501677331.6132
Lesotho;2642570109.0076
Liberia;2918535409.45408
Libya;50882228980.806
Lithuania;42836438339.6684
Luxembourg;42910077151.75
Macao SAR, China;38934210505.9531
North Macedonia;10364776724.0245
Madagascar;11659563209.7684
Malawi;8632391151.58564
Malaysia;311560168337.287
Maldives;3867763228.83023
Mali;16708434786.804
Malta;10828201023.65
Marshall Islands;241429066.668329
Mauritania;6300770360.20547
Mauritius;13461524630.13
Mexico;1190381172086.54
Micronesia, Fed. Sts.;369878343.993915
Moldova;8888973952.40413
Mongolia;10678416260.5219
Montenegro;4389337383.18357
Morocco;111739871285.219
Mozambique;15130344379.3329
Myanmar;63559467229.0533
Namibia;11165440937.0553
Nauru;130279385.143472
Nepal;24065937869.437
Netherlands;799787769287.227
New Zealand;186041173607.849
Nicaragua;12333268218.9241
Niger;10962186269.202
Nigeria;463851771590.265
Norway;428566105287.955
Oman;81457749214.9853
Pakistan;299994115109.889
Palau;267009628.462697
Panama;53089063470.581
Papua New Guinea;21605357912.3262
Paraguay;36730021908.519
Peru;189102637889.763
Philippines;357904546274.476
Poland;483851398113.289
Portugal;205986245879.507
Puerto Rico (US);67145096440.2585
Qatar;171350896547.112
Romania;186395800378.267
Russian Federation;1426946310645.5
Rwanda;8655609787.83402
Samoa;839309809.251015
Sao Tome and Principe;289220678.571843
Saudi Arabia;741069466022.265
Senegal;19105759853.2535
Serbia;41800438505.4896
Seychelles;1479557109.59421
Sierra Leone;6734339474.09851
Singapore;299826763586.762
Sint Maarten (Dutch part);1348523898.8756
Slovak Republic;91774910844.5542
Slovenia;44634512813.1724
Solomon Islands;1327720673.39061
Somalia, Fed. Rep.;6496601660.71499
