Series Name,Series Code,Country Name,Country Code,2016 [YR2016]
"Population, total",SP.POP.TOTL,South Africa,ZAF,57259551
"Population, total",SP.POP.TOTL,South Sudan,SSD,10830102
"Population, total",SP.POP.TOTL,Spain,ESP,46458139
"Population, total",SP.POP.TOTL,Sri Lanka,LKA,21209000
"Population, total",SP.POP.TOTL,St. Kitts and Nevis,KNA,47075
"Population, total",SP.POP.TOTL,St. Lucia,LCA,175646
"Population, total",SP.POP.TOTL,St. Martin (French part),MAF,37175
"Population, total",SP.POP.TOTL,St. Vincent and the Grenadines,VCT,106349
"Population, total",SP.POP.TOTL,Sudan,SDN,41259892
"Population, total",SP.POP.TOTL,Suriname,SUR,587757
"Population, total",SP.POP.TOTL,Eswatini,SWZ,1149507
"Population, total",SP.POP.TOTL,Sweden,SWE,9923085
"Population, total",SP.POP.TOTL,Switzerland,CHE,8373338
"Population, total",SP.POP.TOTL,Syrian Arab Republic,SYR,19193834
"Population, total",SP.POP.TOTL,Tajikistan,TJK,8865631
"Population, total",SP.POP.TOTL,Tanzania,TZA,53824013
"Population, total",SP.POP.TOTL,Thailand,THA,70859841
"Population, total",SP.POP.TOTL,Timor-Leste,TLS,1228312
"Population, total",SP.POP.TOTL,Togo,TGO,7858289
"Population, total",SP.POP.TOTL,Tonga,TON,105524
"Population, total",SP.POP.TOTL,Trinidad and Tobago,TTO,1353895
"Population, total",SP.POP.TOTL,Tunisia,TUN,11528674
"Population, total",SP.POP.TOTL,Turkiye,TUR,79277962
"Population, total",SP.POP.TOTL,Turkmenistan,TKM,6360041
"Population, total",SP.POP.TOTL,Turks and Caicos Islands,TCA,38315
"Population, total",SP.POP.TOTL,Tuvalu,TUV,10930
"Population, total",SP.POP.TOTL,Uganda,UGA,38799152
"Population, total",SP.POP.TOTL,Ukraine,UKR,45616832
"Population, total",SP.POP.TOTL,United Arab Emirates,ARE,8935095
"Population, total",SP.POP.TOTL,United Kingdom,GBR,65607000
